cid,fname,lname,contact,email
1,Sadia,Mubashira,632199,sadiamubashshira@gmail.com
2,Ahnaf,Sadman,289374,ahnafsadman@gmail.com
3,Mahmuda,Akter,234322,aktermahmuda@gmail.com
4,Shahabuddin,Salim,778989,salimshahab@gmail.com
5,Haseena,Begum,364932,begum.hasina@gmail.com
6,Nadia,Mubashira,632199,sadiamubashshira@gmail.com
7,Akib,Sadman,289374,ahnafsadman@gmail.com
8,Mahima,Akter,234322,aktermahmuda@gmail.com
9,Shahin,Salim,778989,salimshahab@gmail.com
10,Hamida,Begum,364932,begum.hasina@gmail.com
